name,SMILES,canonical_SMILES,core_type,fosc,DEST_eV,DEST_raw_eV,MW,source,method,is_INVEST
O23_KOSCEA,CCO[Si](OCC)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,CCO[Si](OCC)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,literature,,0.267800002,0.267800002,616.8700000000001,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOSCAZ,CN1c2cccc3cccc(N(C)C41C(=O)c1cc5ccccc5cc1C4=O)c23,CN1c2cccc3cccc(c23)N(C)C12C(=O)c1cc3ccccc3cc1C2=O,literature,,0.25810000099999986,0.25810000099999986,378.4310000000001,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KORZUP,CN1c2cccc3cccc(N(C)C41C(=O)c1ccc(cc1C4=O)c1ccc(cc1)C#N)c23,CN1c2cccc3cccc(c23)N(C)C12C(=O)c1ccc(-c3ccc(C#N)cc3)cc1C2=O,literature,,0.23800000100000007,0.23800000100000007,429.47900000000016,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_LAHBUT,COC(=O)C1=C(C(=O)OC)P(=NC1(c1ccccc1)c1ccccc1)(C(C)C)C(C)C,COC(=O)C1=C(C(=O)OC)P(C(C)C)(C(C)C)=NC1(c1ccccc1)c1ccccc1,literature,,0.1602000010000002,0.1602000010000002,439.49200000000013,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_LAGXIA,CCOc1c2SC(Sc2c(OP(=O)(OCC)OCC)c2ccccc12)=C1Sc2c(OCC)c3ccccc3c(OP(=O)(OCC)OCC)c2S1,CCOc1c2c(c(OP(=O)(OCC)OCC)c3ccccc13)SC(=C1Sc3c(c(OP(=O)(OCC)OCC)c4ccccc4c3OCC)S1)S2,literature,,0.20680000099999996,0.20680000099999996,796.8840000000002,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_LAFSIW,N#CC(C#N)=S(c1ccccc1)c1ccccc1,N#CC(C#N)=S(c1ccccc1)c1ccccc1,literature,,0.288900001,0.288900001,250.32600000000005,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_LAFROA,N#CCCSC1=C(SCCC#N)SC(S1)=C1SC2=C(SC=CS2)S1,N#CCCSC1=C(SCCC#N)SC(=C2SC3=C(SC=CS3)S2)S1,literature,,0.24250000199999988,0.24250000199999988,462.78400000000005,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_LADVAN01,S1N=C(SC1=C1SN=C(S1)c1ccccc1)c1ccccc1,c1ccc(C2=NSC(=C3SN=C(c4ccccc4)S3)S2)cc1,literature,,0.29340000200000027,0.29340000200000027,358.53800000000007,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KUWVAB,CC1=CC2=C(S1)SC(S2)=C1SC2=C(S1)C=C(C)S2,Cc1cc2c(s1)SC(=C1Sc3cc(C)sc3S1)S2,literature,,1.0932990999999999,0.208300001,344.59800000000007,Omar2023_JACS,"CASSCF(8,8)/6-31G*",False
O23_KUTCOS,[NH3+]C1CC(NC1=O)C(=O)[O-],[NH3+]C1CC(C(=O)[O-])NC1=O,literature,,0.05160000100000017,0.05160000100000017,144.12999999999997,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
